REAL=1788175826.462847 MONO=1387.346103 RAW=1387.139945 BOOT=1518.007505
REAL=1788175826.482954 MONO=1387.366211 RAW=1387.160051 BOOT=1518.027613
REAL=1788175826.503092 MONO=1387.386347 RAW=1387.180186 BOOT=1518.047749
REAL=1788175826.523219 MONO=1387.406478 RAW=1387.200315 BOOT=1518.067880
REAL=1788175826.543346 MONO=1387.426602 RAW=1387.220438 BOOT=1518.088004
REAL=1788175826.563451 MONO=1387.446707 RAW=1387.240541 BOOT=1518.108109
REAL=1788175826.583569 MONO=1387.466824 RAW=1387.260657 BOOT=1518.128226
REAL=1788175826.603685 MONO=1387.486942 RAW=1387.280773 BOOT=1518.148344
REAL=1788175826.623804 MONO=1387.507061 RAW=1387.300891 BOOT=1518.168463
REAL=1788175826.643924 MONO=1387.527180 RAW=1387.321007 BOOT=1518.188582
REAL=1788175826.664035 MONO=1387.547291 RAW=1387.341117 BOOT=1518.208693
REAL=1788175826.684154 MONO=1387.567410 RAW=1387.361234 BOOT=1518.228812
REAL=1788175826.704284 MONO=1387.587542 RAW=1387.381365 BOOT=1518.248944
REAL=1788175826.724424 MONO=1387.607682 RAW=1387.401504 BOOT=1518.269084
REAL=1788175826.744560 MONO=1387.627820 RAW=1387.421640 BOOT=1518.289222
REAL=1788175826.764682 MONO=1387.647938 RAW=1387.441756 BOOT=1518.309339
REAL=1788175826.784791 MONO=1387.668046 RAW=1387.461863 BOOT=1518.329448
REAL=1788175826.804905 MONO=1387.688161 RAW=1387.481976 BOOT=1518.349563
REAL=1788175826.825028 MONO=1387.708284 RAW=1387.502097 BOOT=1518.369686
REAL=1788175826.845141 MONO=1387.728397 RAW=1387.522209 BOOT=1518.389799
REAL=1788175826.865298 MONO=1387.748557 RAW=1387.542367 BOOT=1518.409958
REAL=1788175826.885449 MONO=1387.768707 RAW=1387.562516 BOOT=1518.430109
REAL=1788175826.905575 MONO=1387.788831 RAW=1387.582638 BOOT=1518.450233
REAL=1788175826.925694 MONO=1387.808951 RAW=1387.602756 BOOT=1518.470353
REAL=1788175826.945817 MONO=1387.829072 RAW=1387.622876 BOOT=1518.490474
REAL=1788175826.965924 MONO=1387.849180 RAW=1387.642982 BOOT=1518.510582
REAL=1788175826.986056 MONO=1387.869312 RAW=1387.663113 BOOT=1518.530714
