[2026-08-31T11:21:16.456637Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143840 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456641Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143848 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456645Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144086 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456648Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144094 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456652Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144279 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456656Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144287 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456659Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144472 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456663Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144480 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456666Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144857 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456669Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=144866 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456674Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=145632 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456677Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=145641 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456681Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=146372 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456685Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=146381 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456689Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=147111 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456693Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=147702 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456697Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=147703 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456701Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=147704 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456705Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=148221 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456708Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=148222 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456712Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=148223 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456715Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=148277 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456719Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=148278 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456722Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=148279 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456725Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=148304 klass=6 cmd=1 ring=0x0 size=28
